channel_elevation,channel_slope,channel_curvature,channel_dist_along,channel_dist_to_river_center,ridge1_elevation,ridge1_slope,ridge1_curvature,ridge1_dist_along,ridge1_dist_to_river_center,floodplain1_elevation,floodplain1_slope,floodplain1_curvature,floodplain1_dist_along,floodplain1_dist_to_river_center,ridge2_elevation,ridge2_slope,ridge2_curvature,ridge2_dist_along,ridge2_dist_to_river_center,floodplain2_elevation,floodplain2_slope,floodplain2_curvature,floodplain2_dist_along,floodplain2_dist_to_river_center,width,width_var,sinuosity,max_width,dist_out,n_chan_mod,n_chan_max,facc,meand_len,type,reach_id,node_id
351.9200134277344,0.14733378092445237,0.008755560980899243,4680.000000000197,14.79435483859288,353.7699890136719,0.0033325195312497473,0.00021107991536453163,3930.0000000001946,764.7943548385956,348.3299865722656,-0.0003336588541659282,0.00028886583116255704,2670.0000000001805,2024.7943548386097,352.739990234375,0.006999715169283778,0.00017778184678885706,4799.999999999978,105.20564516118793,354.20001220703125,0.09000040690050143,0.0030000135633320396,5310.000000000236,615.2056451614453,245.0,3228.69387755102,1.01036508353593,1205.0,2414716.27618088,3,4,2989.00287965505,960.013538848685,1,61569000281,61569000280161
344.0,0.0,0.0038222249349276994,5189.999999999625,0.8467741931526689,350.9200134277344,-0.0006663004557194303,0.00011111789279426816,4590.000000000151,599.1532258063216,347.5199890136719,-0.001333618164071799,4.4453938802037516e-05,3839.999999999907,1349.1532258065658,348.010009765625,-0.004999796549467192,7.778591579479254e-05,5490.0000000002065,300.84677419373384,345.70001220703125,-0.000666300455735065,-2.2210015191365448e-05,5819.999999999888,630.8467741934155,272.0,825.428571428571,1.00667382378602,1205.0,2413720.83866429,5,5,2995.2659125316,1236.9335810512,1,61569000281,61569000280111
339.5,-0.03099975586003897,-0.0020666503906875285,4049.9999999996144,2.0201612908126663,342.6499938964844,0.0013336181640691913,-1.1088053385359548e-05,3330.000000000065,722.020161290362,339.8800048828125,-0.0033335367838544447,0.0002444118923597911,1650.0000000002156,2402.0201612902115,342.2200012207031,0.017000325520736954,0.0007333374023363951,4200.000000000394,147.97983870996677,341.3800048828125,0.0006673177083372176,3.3365885417003506e-05,4499.999999999994,447.9798387095666,197.0,273.222222222222,1.00698041020883,1205.0,2412707.86295704,2,3,3001.73097872674,1361.86103264927,1,61569000281,61569000280061
328.5,0.0,0.0005555555555624779,4289.999999999313,3.804435483673842,332.4200134277344,0.006000773112265331,0.000400051540829168,4409.999999998482,123.80443548284256,328.010009765625,-0.000999959309901381,5.554199218799235e-05,5879.999999999495,1593.8044354838557,,,,,,,,,,,160.0,4495.55555555556,1.07682118838266,182.0,2411319.9463174,2,2,3009.3309646162,2600.60672061953,1,61569000141,61569000140761
327.5,0.0,0.0,3000.0000000000514,11.818548387141618,331.489990234375,0.0,-8.887396918471282e-05,1709.9999999997756,1278.1814516131342,328.3599853515625,-0.0003336588541671832,0.00017778184678911106,300.0000000000592,2688.1814516128507,,,,,,,,,,,95.0,366.816326530612,1.01231717159198,95.0,2410319.13318749,1,1,3010.03033980583,732.881975802062,1,61569000141,61569000140711
321.0,0.0,0.0,3359.99999999921,0.14516128997502165,327.8399963378906,0.04166666666582286,0.0014888848198205934,3210.0000000001855,149.85483870904955,317.4200134277344,0.005667114257903853,0.0001889038085998402,239.99999999913615,3119.854838710099,,,,,,,,,,,138.0,542.489795918367,1.03696191225749,182.0,2409326.15211825,2,3,3010.75227548544,1829.7869983941,1,61569000141,61569000140661
320.20001220703125,0.0056671142577276274,0.00018890380858809183,8010.000000000254,5.395161289909993,324.8800048828125,0.0003336588541619934,-0.00013332790798386085,6990.000000000258,1025.3951612899054,308.67999267578125,0.0,0.0001444498697908565,3569.9999999997945,4445.395161290369,,,,,,,,,,,399.0,359.673469387755,1.03823150814676,182.0,2408328.98334046,4,4,3011.42909018507,5820.65141158821,1,61569000141,61569000140611
310.0,-0.03266703287755861,-0.001100023057722628,7350.000000000104,8.80645161281518,317.25,0.0,-3.333197699668642e-05,6060.000000000069,1298.8064516128497,305.17999267578125,0.0063334147135328586,8.890787760391938e-05,930.0000000001576,6428.8064516127615,313.94000244140625,0.00566711425781628,-0.0006777615017416131,7919.999999999932,561.1935483870129,312.239990234375,0.0006663004557293686,-1.1121961805693668e-05,9239.999999999958,1881.1935483870393,378.0,1885.26530612245,1.03823150814676,182.0,2406317.97184625,5,5,3022.04070197211,5820.65141158821,1,61569000141,61569000140511
302.1600036621094,0.0,-0.0007333374023491302,4470.0000000000855,3.356854838808431,304.8500061035156,-0.0016662597656271721,-0.0001110839843754538,3540.000000000125,926.643145161152,300.67999267578125,0.005333455403668511,0.0001111178927964673,1140.000000000046,3326.643145161231,305.42999267578125,-0.008666992187453756,-0.00024444580077826134,6900.000000000257,2433.3568548389803,304.0299987792969,-0.0016662597656257072,2.224392361113e-05,7859.999999999973,3393.3568548386957,240.0,2557.26530612245,1.03290160237365,182.0,2404330.16987673,2,2,3029.74399538393,2120.31784611277,1,61569000141,61569000140411
298.0899963378906,0.05299987793038484,0.0017666625977027393,3719.999999999454,3.877016129455569,301.2200012207031,0.0009999593099055191,-0.00032223171658006696,2939.999999999934,783.8770161289754,295.739990234375,0.0006663004557294495,-2.2243923610803937e-05,269.9999999998391,3453.8770161290704,,,,,,,,,,,223.0,1857.91666666667,1.02179724003426,182.0,2403304.51392631,3,3,3033.71988875778,1812.07319844297,1,61569000141,61569000140361
292.0,0.0,0.0009999932183189129,4019.999999999969,13.088709677499537,295.17999267578125,0.0016662597656185846,7.775200737793848e-05,3390.000000000056,643.0887096774127,291.3800048828125,-0.004333496093770511,-0.0001222398546018708,689.9999999998281,3343.0887096776405,,,,,,,,,,,230.5,1166.22222222222,1.00930133588562,182.0,2402308.991362,4,5,3037.69578213162,970.741672147448,1,61569000141,61569000140311
283.5,0.01666666666656662,0.0005555555555488859,8580.00000000023,8.987903226057824,287.0199890136719,-0.005667114257728658,-0.00042222764756362865,9060.00000000016,488.9879032259887,286.5299987792969,-0.0006663004557246419,-8.88739691834068e-05,10140.000000000337,1568.9879032261651,286.6400146484375,-0.002666219075497635,-2.221001518987232e-05,8040.000000000237,531.012096773934,285.5899963378906,-0.002667236328120148,-0.0001000298394094308,7290.000000000252,1281.0120967739194,464.0,505.387755102041,1.05151773431433,182.0,2400332.38346933,3,5,3045.89606221517,4337.89314700134,1,61569000141,61569000140211
273.0,-0.016666666666663887,-0.0005555555555553703,3570.000000001109,1.6935483865877359,278.3500061035156,-0.0019999186198453246,-0.00013332790799074328,2700.000000000214,871.6935483874827,276.94000244140625,0.0,4.445393880239263e-05,1980.0000000006914,1591.6935483870054,,,,,,,,,,,171.0,749.142857142857,1.03446233915514,171.0,2397342.08686837,1,1,3056.58127565737,1148.55911222578,1,61569000141,61569000140061
265.0,0.0,0.0,2670.0000000000196,11.31653225809032,266.6199951171875,-0.0016672770182154435,-0.00013336181640441895,2999.999999999908,341.3165322579789,263.2300109863281,-0.0049997965496462035,-3.860135590930486e-15,4859.999999999238,2201.3165322573086,,,,,,,,,,,127.0,70.56,1.1018076807654,1110.0,2394914.213756,2,2,3065.65128241645,1811.52668578518,1,61569000131,61569000130471
259.739990234375,-0.0026672363281250405,-0.00016669379340293256,2399.999999999923,5.467741935534377,267.07000732421875,-0.0013326009114506675,-0.00012217203775916017,1740.0000000002958,654.532258064093,260.5899963378906,0.01299947102864603,0.0011444091796875347,329.9999999999293,2064.5322580644597,,,,,,,,,,,123.0,730.408163265306,1.11403861909891,123.0,2392946.45276782,1,1,3073.1060824924,1711.21861945822,1,61569000131,61569000130371
254.13999938964844,-0.009000142415282728,-0.0002777947319824208,3690.0000000003174,6.169354838479194,255.89999389648438,0.00033315022786068474,-2.8751234610358316e-16,4470.000000000313,773.8306451615163,254.77000427246094,-0.00033315022786715884,1.1121961805396661e-05,6150.000000000212,2453.8306451614153,,,,,,,,,,,189.0,554.775510204082,1.01606431118325,189.0,2390938.00340518,1,2,3081.05786924009,1980.18008823274,1,61569000131,61569000130271
249.0,0.0,0.0,2970.0000000001073,3.3205645162101973,252.97999572753906,-0.0006668090820288545,-4.445393880172789e-05,2580.000000000133,393.32056451618473,251.02999877929688,0.0006668090820290465,7.778591579906511e-05,1890.0000000000066,1083.320564516311,,,,,,,,,,,142.0,634.472222222222,1.04884521729168,142.0,2389930.96842449,1,1,3085.03376261393,1247.05106440593,1,61569000131,61569000130221
247.27999877929688,0.042666625976380115,0.0014222208658732577,4890.000000000257,10.929435483968518,251.11000061035156,-0.0026667277018360136,-0.00021111382378544713,4200.000000000251,679.0705645160378,253.30999755859375,-0.04666697184297209,-0.0028555806478376016,3719.999999999908,1159.0705645163807,249.83999633789062,0.0026667277018163683,0.00012222290039002473,5520.000000000118,640.9294354838294,249.49000549316406,0.0,7.776896158781079e-05,5910.0000000002165,1030.9294354839276,241.0,345.333333333333,1.01765314910377,1110.0,2388940.1951224,2,3,3088.76116265191,954.930396151059,1,61569000131,61569000130171
243.5,-0.07633310953738205,-0.0021444363063901225,3839.9999999999536,11.334677419355558,246.8699951171875,0.0003331502278646136,1.110500759548813e-05,3120.000000000044,708.665322580554,246.58999633789062,-0.0019999186197609876,0.0001222398545969441,2670.000000000682,1158.665322579916,246.39999389648438,0.001999918619801974,8.889092339414017e-05,4230.000000000347,401.33467741974937,245.64999389648438,0.0003331502278646136,0.00014443291557956608,4710.000000000268,881.3346774196702,190.0,947.76,1.10927823907957,1110.0,2387934.09150941,2,2,3092.48856268989,2732.74783804225,1,61569000131,61569000130121
239.0,0.0,0.0,3810.000000000188,3.5322580643019137,244.3699951171875,0.0,-5.554199218724237e-05,2250.0000000001437,1563.532258064346,241.4199981689453,-0.000666809082034252,1.1105007595294573e-05,630.0000000000052,3183.5322580644843,242.25,0.0013331095377598912,-4.445393880179767e-05,4440.00000000002,626.4677419355303,242.0399932861328,-0.00033365885416687907,-1.6954210080912483e-08,4829.999999999966,1016.4677419354766,189.0,265.918367346939,1.16847710835295,1110.0,2385959.73663544,2,2,3099.94336276584,2591.20884774009,1,61569000131,61569000130021
235.0,0.0,0.0,3629.9999999999377,1.8749999998449312,239.13999938964844,-0.001999918619748922,-7.77689615854397e-05,3360.000000000669,268.12499999942384,238.4199981689453,-0.0006668090820303504,-5.55589463979066e-05,2790.0000000000164,838.1250000000764,,,,,,,,,,,209.5,983.222222222222,1.46744714237649,209.5,2384555.19585352,1,2,3105.16172281901,913.973547649819,1,61569000121,61569000120801
234.0,0.0,0.0,2130.0000000002074,13.016129032519075,237.88999938964844,0.0006668090820275102,-6.666395399197497e-05,1740.0000000001203,376.983870967568,237.02999877929688,-0.0009999593098580074,4.445393880344129e-05,1110.000000000811,1006.9838709668772,237.75999450683594,-0.000999959309886481,-0.004244435628335078,2309.9999999999477,193.0161290322594,237.4199981689453,-0.000333150227863336,0.00017779880099990476,2520.0000000000473,403.016129032359,101.0,378.555555555556,1.13570065153878,101.0,2383555.98655792,1,1,3108.76487618906,1224.86818821458,1,61569000121,61569000120751
