channel_elevation,channel_slope,channel_curvature,channel_along_track_distance,channel_dist_to_river_center,ridge1_elevation,ridge1_slope,ridge1_curvature,ridge1_dist_along,ridge1_dist_to_river_center,floodplain1_elevation,floodplain1_slope,floodplain1_curvature,floodplain1_dist_along,floodplain1_dist_to_river_center,ridge2_elevation,ridge2_slope,ridge2_curvature,ridge2_dist_along,ridge2_dist_to_river_center,floodplain2_elevation,floodplain2_slope,floodplain2_curvature,floodplain2_dist_along,floodplain2_dist_to_river_center,width,width_var,sinuosity,max_width,dist_out,n_chan_mod,n_chan_max,facc,meand_len,type,reach_id,node_id
132.0,0.0,0.0,810.0000000006188,11.473790323263302,138.7899932861328,0.008666483561357892,-0.000166676839195623,689.9999999997107,108.52620967764483,137.57000732421875,0.003666687011786433,5.5541992189889224e-05,480.0000000009057,318.5262096764498,150.97000122070312,0.009666951496936083,-0.020433315700276126,900.0000000011513,101.47379032379581,148.0500030517578,-0.021333312988588295,-0.0009888882107403473,1229.9999999997833,431.4737903224278,54.0,99.2222222222222,1.02267021454024,54.0,337634.508687725,1,1,2405.45537408886,1745.94849959261,1,61302000331,61302000330471
131.0,0.0,0.0,420.00000000043633,5.927419355826089,146.66000366210938,0.5220001220397402,0.017400004066972265,510.0000000010537,95.92741935644347,145.52999877929688,-0.02166646321757161,-0.0005333116320323727,749.9999999993082,335.927419354698,136.0500030517578,0.008333333332840675,-0.00013334486221896265,300.0000000008459,114.07258064376435,135.3000030517578,0.0,-5.5558946396224964e-05,179.99999999938984,234.0725806452204,30.0,131.25,1.02267021454024,30.0,337226.944559231,1,1,2410.56088264225,1745.94849959261,1,61302000331,61302000330451
130.5,0.0,0.00564444647899624,1139.999999999092,0.45967741831941566,138.92999267578125,0.028333028156360924,-0.007477789984957952,1230.0000000000298,90.4596774192571,142.02999877929688,0.1326665242459257,0.006333329942148668,1320.000000000044,180.45967741927143,,,,,,,,,,,75.0,145.061224489796,1.02267021454024,75.0,337046.944559769,1,1,2413.31000263254,1745.94849959261,1,61302000331,61302000330441
130.0,-0.15099995930802923,-0.0044888814289100005,720.0000000008346,14.879032257996982,135.86000061035156,0.027666727703995718,0.0007777743870755703,629.9999999995958,104.87903225923571,132.99000549316406,0.002333577473919662,2.222696940018793e-05,300.00000000061266,434.8790322582189,,,,,,,,,,,45.0,146.805555555556,1.18478514965511,45.0,336834.568071928,1,1,2415.66639119565,1322.08908998005,1,61302000331,61302000330431
129.5,0.0,0.0,840.0000000000324,3.7439516130999664,137.52999877929688,0.06566670735741734,0.0007555643717149121,689.9999999996636,146.25604838726883,134.36000061035156,0.012333170572652975,0.00024442884655028754,600.0000000014902,236.25604838544223,,,,,,,,,,,51.0,43.7142857142857,1.18478514965511,51.0,336648.163690174,1,1,2418.41551118594,1322.08908998005,1,61302000331,61302000330421
128.5,-0.016666666666906863,0.007000003390813775,660.0000000005218,2.056451612016076,134.67999267578125,0.1893330891996443,0.005755547417982248,719.9999999997187,62.05645161121299,134.11000061035156,-0.018999735514018352,-0.000633324517123793,780.0000000004956,122.05645161198981,137.02999877929688,0.030333455401562126,-0.0009777662491070819,570.0000000017573,87.94354838674849,133.38999938964844,0.006666564941326797,8.889092338737147e-05,330.00000000016837,327.9435483883374,42.0,0.0,1.18478514965511,42.0,336435.787202342,1,1,2420.77189974904,1322.08908998005,1,61302000331,61302000330411
128.0,0.0,0.007444441053789809,1049.9999999993618,5.866935484341184,136.6999969482422,0.037666320800436824,-0.00010001288523188689,959.9999999997011,95.86693548400183,133.17999267578125,0.003666178385420571,0.0002222018771714238,779.9999999998298,275.86693548387314,134.27999877929688,0.20933329264202655,0.007533331976920151,1139.9999999997767,84.13306451607377,134.1300048828125,-0.004999796549467458,-0.00016665988498185827,1200.0000000001608,144.1330645164578,67.0,105.25,1.18478514965511,67.0,336234.942190314,1,1,2423.12828831215,1322.08908998005,1,61302000331,61302000330401
126.5,-0.036666615800944255,-0.00104443867982592,960.0000000030568,13.796370964763128,132.9600067138672,0.05166676838926389,-0.003733334011591789,1050.0000000015618,76.20362903374189,131.1999969482422,0.02766672770112507,0.002155558268158873,1170.0000000008963,196.20362903307637,,,,,,,,,,,67.0,6.81632653061224,1.09041130151685,67.0,335658.521895133,1,1,2430.19745400146,3224.80916813264,1,61302000331,61302000330371
125.5,0.0,0.00309999254028847,900.0000000008918,5.292338710265085,128.2899932861328,0.008666483560720391,-4.444546170289776e-05,840.0000000022553,54.707661288371355,127.7300033569336,-0.0036664326987059415,0.0002555592854780398,779.9999999999166,114.70766129071012,,,,,,,,,,,61.5,67.25,1.09041130151685,61.5,335439.442769487,1,1,2432.55384256457,3224.80916813264,1,61302000331,61302000330361
120.5,0.0,0.0071888902450724275,1350.0000000005718,8.945564515369597,128.5800018310547,0.015333557129214801,-0.0005333201090702698,1169.9999999995828,188.94556451635867,126.87999725341797,0.0009999593098849577,2.221849229482992e-05,1050.0000000001442,308.9455645157973,130.22999572753906,0.3243331909247729,0.010811106364385904,1439.9999999996778,81.05443548373637,130.02000427246094,0.0013336181640072314,2.2243923607904767e-05,1770.0000000013745,411.05443548543303,92.0,72.7755102040816,1.09041130151685,92.0,334863.567029932,1,1,2440.40847110825,3224.80916813264,1,61302000331,61302000330331
