channel_elevation,channel_slope_r,channel_slope,channel_curvature,channel_dist_along,channel_dist_to_river_center,ridge1_elevation,ridge1_slope_r,ridge1_slope,ridge1_curvature,ridge1_dist_along,ridge1_dist_to_river_center,floodplain1_elevation,floodplain1_slope_r,floodplain1_slope,floodplain1_curvature,floodplain1_dist_along,floodplain1_dist_to_river_center,ridge2_elevation,ridge2_slope_r,ridge2_slope,ridge2_curvature,ridge2_dist_along,ridge2_dist_to_river_center,floodplain2_elevation,floodplain2_slope_r,floodplain2_slope,floodplain2_curvature,floodplain2_dist_along,floodplain2_dist_to_river_center,width,width_var,sinuosity,max_width,dist_out,n_chan_mod,n_chan_max,facc,meand_len,type,reach_id,node_id
369.5,0.0,0.595057852860971,0.0,8369.999999999998,361.9778225805094,373.98,-0.004000000000001971,0.595057852860971,0.0004333333333315305,6540.000000000033,1468.022177419456,373.03,-1.7094017094025268e-05,0.595057852860971,3.105047848623896e-05,2340.000000000078,5668.022177419411,,,,,,,,,,,,,161.0,351.138888888889,1.28341992732623,161.0,906396,1,1,89490.5696767641,2794.40625444581,1,11493500561,11493500560571
368.5,0.0,0.595057852860971,0.0,8549.99999999875,473.4435483871539,373.85,0.0026666666666277706,0.595057852860971,7.7777777775148e-05,9059.999999999172,983.4435483875759,373.56,-0.00016666666666654035,0.595057852860971,-2.7167277167260626e-06,15689.999999997191,7613.443548385595,373.05,-0.006999999999894271,0.595057852860971,-2.2222222215045296e-05,5939.999999999446,2136.5564516121503,373.25,0.0,0.595057852860971,1.2037037037227225e-05,4469.999999999136,3606.5564516124605,182.0,203.888888888889,1.41256033942387,182.0,904387,1,1,89641.5181808139,3641.57444068215,1,11493500561,11493500560471
368.0,0.0,0.595057852860971,2.1136653895276692e-06,10350.000000000877,818.5403225819427,373.87,0.00041666666666668404,0.595057852860971,2.0254629629619666e-07,13920.000000000038,4388.540322581104,372.48,-0.000666666666670628,0.595057852860971,-3.333333333341889e-05,16559.999999999538,7028.540322580604,,,,,,,,,,,,,184.0,52.7755102040816,1.05064500980568,184.0,902405,1,1,89797.4983016654,2727.50922328508,1,11493500561,11493500560371
365.0,0.0,0.595057852860971,4.888888888909959e-05,5549.999999999705,371.8064516124314,368.28,-0.00033333333333397756,0.595057852860971,-6.666666666635382e-05,1410.000000000207,3768.193548387067,367.72,0.1199999999999477,0.595057852860971,-0.00011417687074824395,0.0,5178.193548387274,369.04,0.0006666666666660553,0.595057852860971,-2.5752331401526477e-16,7110.000000000014,1931.8064516127397,368.86,0.0,0.595057852860971,0.0,9360.00000000032,4181.806451613046,99.5,493.805555555555,2.26580918260156,99.5,896407,1,1,90255.3754306166,1800.16370147117,1,11493500561,11493500560071
363.0,0.0,0.423288224422858,9.479166666684115e-05,8549.999999999987,384.4233870967728,369.5,-0.0013333333333277904,0.423288224422858,-0.00015555555555529633,8909.999999999962,744.4233870967473,368.74,-7.407407407407855e-05,0.423288224422858,1.1431184270621779e-06,10140.000000000004,1974.4233870967892,,,,,,,,,,,,,182.0,64.1388888888889,1.00273326415132,182.0,891982,1,1,90592.4937563279,854.367944301919,1,11493500551,11493500550831
362.0,0.0,0.423288224422858,0.0,11670.000000000302,439.983870967917,367.57,0.0013333333333370068,0.423288224422858,-5.5555555555754286e-05,13230.00000000047,1999.9838709680844,366.96,0.0,0.423288224422858,1.8518518518603715e-06,15900.000000000153,4669.983870967768,,,,,,,,,,,,,174.0,114.69387755102,1.24076240082239,174.0,889997,1,1,90758.5371107827,3551.54966971965,1,11493500551,11493500550731
361.0,0.0,0.423288224422858,0.0,14070.000000000677,841.6693548406001,365.83,3.5087719298216616e-05,0.423288224422858,-2.5084641427804933e-05,18359.999999998166,5131.66935483809,364.55,-0.0003333333333329411,0.423288224422858,6.944444444339375e-06,23879.99999999773,10651.669354837653,,,,,,,,,,,,,219.0,478.530612244898,1.43256727526626,219.0,887984,1,2,90917.033040035,1896.69756026529,1,11493500551,11493500550631
360.5,0.0,0.423288224422858,4.160654160653472e-06,7470.000000000264,169.76612903220575,365.46,-0.00600000000001005,0.423288224422858,-0.00010000000000057856,8670.000000000226,1369.7661290321676,364.65,-0.0028333333333289603,0.423288224422858,-4.6256038647193985e-05,10830.000000000564,3529.766129032506,,,,,,,,,,,,,135.5,59.0,1.00085437468034,135.5,885968,1,1,91078.0447776882,555.902362273222,1,11493500551,11493500550531
359.5,0.0,0.423288224422858,0.0,7439.999999999038,13.45161290208489,365.29,-0.00033333333333357586,0.423288224422858,-6.666666666671736e-05,7619.999999998839,193.4516129018857,364.38,-4.5833333333334086e-05,0.423288224422858,4.732789855074253e-08,11099.99999999908,3673.4516129021267,,,,,,,,,,,,,159.0,268.805555555556,1.26040139282785,159.0,883957,1,1,91241.5723237421,5153.75468487698,1,11493500551,11493500550431
357.5,0.0,0.423288224422858,0.0,12059.999999999534,703.977822580644,363.4,-4.166666666674183e-05,0.423288224422858,1.3020833333235772e-06,10889.999999999458,1873.9778225807204,360.48,0.0030000000000134303,0.423288224422858,5.555555555669512e-05,3570.0000000002024,9193.977822579976,,,,,,,,,,,,,222.0,447.102040816326,1.37399005751887,222.0,879970,1,2,91553.5325654451,3867.52836990489,1,11493500551,11493500550231
